codigo;Habitantes;Poblacion
7001;5617;Alaró
7003;20819;Alcúdia
7004;5793;Algaida
7005;11433;Andratx
7006;7984;Artà
7007;523;Banyalbufar
7008;8756;Binissalem
7009;1087;Búger
7010;6895;Bunyola
7011;51710;Calvià
7012;2648;Campanet
7013;11283;Campos
7014;12158;Capdepera
7016;4125;Consell
7017;1329;Costitx
7018;630;Deià
7019;208;Escorca
7020;5113;Esporles
7021;327;Estellencs
7022;18202;Felanitx
7025;679;Fornalutx
7027;33679;Inca
7028;1437;Lloret de Vistalegre
7029;6122;Lloseta
7030;2298;Llubí
7031;37752;Llucmajor
7033;44527;Manacor
7034;1528;Mancor de la Vall
7035;2245;Maria de la Salut
7036;37724;Marratxí
7038;2987;Montuïri
7039;7394;Muro
7041;2942;Petra
7042;16658;Pollença
7043;5576;Porreres
7044;13764;Pobla (Sa)
7045;2044;Puigpunyent
7047;3370;Sencelles
7049;2145;Sant Joan
7051;8742;Sant Llorenç des Cardassar
7053;1641;Santa Eugènia
7055;12797;Santa Margalida
7056;7486;Santa Maria del Camí
7057;12373;Santanyí
7058;4080;Selva
7059;5096;Salines (Ses)
7060;4030;Sineu
7061;13634;Sóller
7062;11817;Son Servera
7063;2009;Valldemossa
7065;3466;Vilafranca de Bonany
7901;902;Ariany
07040N01;489;Puig de Sant Pere
07040N02;2548;Jaume III
07040N03;1686;Llotja-Born
07040N04;1730;Sant Jaume
07040N05;1497;Sant Nicolau
07040N06;1299;Cort
07040N07;593;Seu (La)
07040N08;1096;Monti-Sion
07040N09;845;Calatrava (La)
07040N10;4275;Sindicat (El)
07040N11;2481;Mercat (El)
07040N12;1769;Missió (La)
07040N13;3854;Plaça dels Patins
07040N14;4310;Sant Agustí
07040N15;5106;Cala Major
07040N16;2580;Portopí
07040N17;3058;Bonanova (La)
07040N18;2051;Gènova
07040N19;2848;Terreno (El)
07040N20;2848;Bellver
07040N21;7446;Armadams (Son)
07040N22;1733;Teulera (La)
07040N23;7197;Espanyolet (Son)
07040N24;2211;Dureta (Son)
07040N25;8484;Santa Catalina
07040N26;667;Jonquet (El)
07040N27;1698;Peretó (Son)
07040N28;1378;Flor (Son)
07040N29;6171;Serra(Son)- La Vileta
07040N30;2141;Roca (Son)
07040N31;2366;Ximelis (Son)
07040N32;554;Anglada (Son)
07040N33;4046;Rapinya (Son)
07040N34;2926;Almendros (Los)-Son Pacs
07040N35;4639;Xigala (Son)
07040N36;604;Vida (Son)
07040N37;12211;Cotoner (Son)
07040N38;7452;Dameto (Son)
07040N39;12712;Camp d'en Serralta
07040N40;6919;Fortí (Es)
07040N41;4889;Secar de la Real
07040N42;2995;Establiments
07040N43;669;Espanyol(Son)
07040N44;2806;Sardina (Son)
07040N45;8937;Cas Capiscol
07040N46;14379;Camp Redó
07040N47;19276;Bons Aires
07040N48;15818;Plaça de Toros
07040N49;6245;Oliva (Son)
07040N50;526;Amanecer
07040N51;3720;Olivera (L')
07040N52;3607;Indioteria (La), urbà
07040N53;1602;Indioteria (La), rural
07040N54;7017;Arxiduc
07040N55;6648;Marquès de la Fontsanta
07040N56;1298;Rul.lan (Son)
07040N57;1842;Mare de Deu de Lluc
07040N58;7569;Cladera (Son)
07040N59;6864;Viver (El)
07040N60;6922;Rafal Nou
07040N61;12226;Rafal Vell
07040N62;2227;Fortesa (Son), nord
07040N63;2525;Hostalets
07040N64;3887;Fortesa (Son), sud
07040N65;10145;Gotleu (Son)
07040N66;1748;Can Capes
07040N67;5971;Canals (Son)
07040N68;8582;Soledat (La), nord
07040N69;1005;Estadi Balear
07040N70;28777;Pere Garau
07040N71;16602;Foners
07040N72;6483;Polígon de Llevant
07040N73;2428;Soledat (La), sud
07040N74;95;Malferit (Son)
07040N75;181;Can Pere Antoni
07040N76;8518;Molinar (El)
07040N77;10897;Coll d'en Rabassa (El)
07040N78;332;Riera (Son)
07040N79;5341;Can Pastilla
07040N80;116;Aeroport
07040N81;4197;Meravelles (Les)
07040N82;8213;Arenal (L')
07040N83;2187;Pil·larí (El)
07040N84;10117;Ferriol (Son)
07040N85;1111;Aranjassa (L´)
07040N86;3215;Sant Jordi
07040N87;1282;Casa Blanca (La)
07040N88;32;Zona Portuaria
